doy,plot,rep,treatment,planting,row,herbicide,tillage,test,c1,c2,c3,cavg
168,311,3,14,late,30,yes,no,NL,4.66,4.3,2.79,3.92
168,312,3,3,early,15,no,yes,TE,21.49,17.63,18.78,19.3
168,313,3,15,late,30,no,yes,TL,5.62,7.31,7.33,6.75
168,314,3,12,late,15,no,no,NL,4.5,4.81,3.49,4.27
168,315,3,9,late,15,yes,yes,TL,4.4,3.98,3.99,4.12
168,316,3,13,late,30,yes,yes,TL,6.03,5.8,4.89,5.57
168,401,4,8,early,30,no,no,NE,16.02,14.95,15.21,15.39
168,402,4,3,early,15,no,yes,TE,16.1,19.88,19.12,18.37
168,403,4,5,early,30,yes,yes,TE,19.32,18.56,19.15,19.01
168,404,4,15,late,30,no,yes,TL,7.28,6.89,7.01,7.06
168,405,4,4,early,15,no,no,NE,14.12,13.59,11.02,12.91
168,406,4,9,late,15,yes,yes,TL,3.88,3.52,3.02,3.47
168,407,4,16,late,30,no,no,NL,5.28,5.18,4.96,5.14
168,408,4,6,early,30,yes,no,NEY,9.88,11.78,12.52,11.39
